time,x-rotation,y-rotation,z-rotation
19.000,-3.495,0.427,0.179
19.040,-5.648,0.976,0.240
19.080,-7.287,2.462,0.976
19.120,-11.700,3.910,2.550
19.160,-15.861,4.139,3.735
19.200,-15.655,3.506,2.851
19.240,-4.855,1.646,0.587
19.280,-0.724,0.823,-1.216
19.320,0.758,2.104,-1.437
19.360,6.559,4.413,-1.418
19.400,7.942,4.516,-1.334
19.440,4.177,5.865,0.747
19.480,4.909,12.618,8.030
19.520,9.379,24.108,20.644
19.560,20.968,41.402,36.913
19.600,16.711,59.554,52.199
19.640,-10.655,56.490,53.716
19.680,13.289,30.202,35.838
19.720,33.171,8.399,0.183
19.760,-18.133,-14.108,-29.764
19.800,-30.610,-41.738,-56.902
19.840,-31.578,-56.159,-74.661
19.880,-38.902,-60.964,-84.501
19.920,-49.745,-66.025,-93.327
19.960,-43.529,-69.646,-102.595
20.000,-4.649,-70.659,-97.912
20.040,3.575,-65.747,-75.602
20.080,-16.803,-44.931,-55.370
20.120,-20.469,-28.876,-34.341
20.160,-15.960,-6.414,-13.285
20.200,-4.931,11.532,5.332
20.240,10.541,11.928,9.741
20.280,22.226,14.303,17.382
20.320,26.886,19.630,27.359
20.360,42.199,-1.387,5.545
20.400,27.454,12.790,14.989
20.440,-56.128,13.361,30.404
20.480,46.536,15.103,23.720
20.520,91.265,16.212,15.145
20.560,31.822,17.713,17.698
20.600,22.107,17.237,21.639
20.640,9.821,18.304,26.852
20.680,-7.001,19.478,32.496
20.720,-40.770,16.574,36.303
20.760,-21.109,14.958,32.976
20.800,18.906,14.935,27.054
20.840,10.141,12.168,27.290
20.880,6.383,9.889,27.671
20.920,11.696,4.779,30.053
20.960,-11.216,6.848,30.640
21.000,-14.516,12.031,31.905
21.040,4.097,13.514,29.063
21.080,8.495,14.752,29.314
21.120,12.302,15.244,29.367
21.160,39.150,13.990,25.511
21.200,30.736,17.752,27.237
21.240,35.629,24.253,29.181
21.280,35.210,22.980,29.291
21.320,28.392,26.799,28.998
21.360,54.021,37.946,27.656
21.400,52.599,44.341,27.984
21.440,24.333,53.064,29.836
21.480,35.183,63.243,38.296
21.520,35.705,76.597,52.492
21.560,3.582,93.133,68.266
21.600,-25.743,106.246,81.025
21.640,-75.236,106.726,90.854
21.680,-45.568,49.573,67.077
21.720,120.415,-10.819,-17.744
21.760,94.585,-58.449,-71.707
21.800,-35.614,-113.533,-93.796
21.840,-26.524,-124.874,-120.202
21.880,5.320,-124.787,-124.874
21.920,-35.431,-123.502,-124.661
21.960,-89.825,-112.580,-124.722
22.000,-70.476,-93.007,-121.124
22.040,-41.848,-72.828,-97.062
22.080,-51.048,-45.534,-78.605
22.120,-33.582,-33.087,-47.367
22.160,14.051,-31.902,-26.932
22.200,23.925,-20.949,-16.784
22.240,-0.015,-0.236,2.873
22.280,-21.845,12.279,17.691
22.320,-31.399,8.678,10.164
22.360,27.477,0.697,-4.463
22.400,-38.929,10.991,16.429
22.440,-38.666,9.672,26.010
22.480,10.152,5.976,17.832
22.520,14.055,6.856,23.441
22.560,-14.242,0.351,24.196
22.600,-13.285,-1.631,20.892
22.640,14.402,-0.305,17.107
22.680,-2.824,-0.084,18.197
22.720,-15.347,2.995,19.809
22.760,-2.706,5.751,18.194
22.800,6.883,3.929,15.896
22.840,-0.263,5.427,13.472
22.880,10.995,5.507,12.603
22.920,23.285,4.005,10.663
22.960,15.781,2.298,7.816
23.000,9.806,2.790,6.730
23.040,4.242,2.755,8.152
23.080,-0.415,2.740,8.502
23.120,5.736,4.535,8.487
23.160,14.489,2.550,7.492
23.200,13.609,-0.137,7.359
23.240,9.844,0.968,8.030
23.280,6.467,2.611,7.729
23.320,3.800,4.741,9.066
23.360,0.111,4.733,8.571
23.400,5.221,7.824,7.195
23.440,3.220,12.706,9.181
23.480,6.067,11.940,6.947
23.520,19.870,5.907,2.626
23.560,13.418,4.303,0.854
23.600,5.751,6.913,3.053
23.640,2.397,8.129,3.407
23.680,4.493,6.612,2.428
23.720,2.694,5.610,1.898
23.760,3.479,5.324,1.098
23.800,4.314,7.111,1.353
23.840,4.733,8.693,1.970
23.880,6.738,5.869,2.062
23.920,1.387,4.177,2.035
23.960,0.412,3.998,1.715
24.000,4.718,2.790,1.159
24.040,4.325,2.027,0.694
24.080,2.290,1.025,-0.198
24.120,1.623,0.213,-0.804
24.160,0.667,0.732,-0.697
24.200,0.499,0.297,-0.865
24.240,0.358,-0.511,-1.688
24.280,-0.141,-0.484,-1.585
24.320,-0.911,-0.130,-0.892
24.360,-0.606,-0.293,-0.964
24.400,-0.640,-0.324,-0.816
24.440,-1.547,-0.111,-0.423
24.480,0.149,-0.225,-0.598
24.520,0.149,-0.880,-0.404
24.560,-0.995,-1.239,0.038
24.600,-1.227,-1.509,-0.133
24.640,-0.412,-2.199,-0.789
24.680,0.575,-2.923,-1.292
24.720,-1.738,-3.056,-0.587
24.760,-5.835,-2.508,0.072
24.800,-3.049,-2.127,-0.240
24.840,3.224,-1.467,-0.354
24.880,-0.678,-1.098,-0.232
24.920,1.467,-1.082,-1.658
24.960,10.454,-1.627,-2.923
25.000,2.546,0.236,-1.707
